YEAR,MO,DY,HR,Avg Power,Irradiance(Ideal),Temperature,Precipitation,Wind Speed,Wind Direction,Specific Humidity,Wind Speed(50M),Wind Direction(50M),Surface Pressure,Relative Humidity,PM2.5,PM10,WS,WD
2021,1,5,23,0.0,0.0,15.26,0.26,2.37,184.73,8.67,5.03,184.19,98.76,79.12,51.53,122.04,0.32,131.71
2021,1,6,0,0.0,0.0,14.78,0.21,1.88,183.1,8.73,4.17,182.9,98.74,82.06,56.31,120.81,0.21,100.08
2021,1,6,1,0.0,0.0,14.23,0.19,1.8,171.27,8.61,3.58,171.59,98.69,83.81,77.7,112.41,0.23,88.62
2021,1,6,2,0.0,0.0,13.73,0.17,1.79,162.2,8.42,3.23,163.85,98.65,84.88,50.7,97.21,0.1,141.25
2021,1,6,3,0.0,0.0,13.41,0.15,1.67,160.29,8.36,2.85,162.26,98.63,85.69,42.3,92.6,0.11,180.62
2021,1,6,4,0.0,0.0,13.17,0.16,1.49,161.66,8.36,2.45,163.3,98.67,86.94,33.8,83.65,0.07,154.94
2021,1,6,5,0.0,0.0,13.05,0.29,1.2,159.1,8.36,1.88,160.81,98.74,87.75,30.38,82.27,0.13,86.55
2021,1,6,6,0.0,0.0,12.83,0.68,1.1,149.25,8.42,1.7,149.9,98.85,89.81,58.78,88.26,0.24,156.92
2021,1,6,7,410.16,30.6,13.74,1.32,1.24,136.02,8.91,2.2,135.58,98.95,89.5,57.97,109.53,0.37,108.33
2021,1,6,8,820.32,118.53,14.76,2.76,2.15,125.54,9.09,2.56,125.82,99.02,85.94,72.37,125.43,0.45,129.26
2021,1,6,9,3772.0,166.86,16.62,0.67,2.61,119.4,9.22,3.03,120.2,99.06,77.38,77.5,140.38,0.57,63.81
2021,1,6,10,3001.0,221.61,18.67,0.09,2.56,117.27,9.09,2.88,118.51,99.02,66.81,68.18,148.94,0.39,116.33
2021,1,6,11,3414.68,207.21,20.18,0.04,2.01,115.27,8.91,2.2,117.29,98.9,59.69,90.14,159.55,0.22,120.58
2021,1,6,12,3321.0,227.52,21.11,0.11,1.56,111.8,8.91,1.66,113.91,98.77,56.25,68.14,164.05,0.29,259.63
2021,1,6,13,5082.0,213.87,21.48,0.15,1.16,106.85,8.97,1.21,108.9,98.68,55.38,86.88,192.23,0.64,289.45
2021,1,6,14,3675.32,174.05,21.47,0.11,0.94,103.46,9.03,0.96,105.5,98.64,55.62,100.52,214.87,0.85,300.88
2021,1,6,15,1868.32,118.18,20.87,0.04,0.79,101.98,9.16,0.86,102.64,98.63,58.5,99.96,225.19,0.74,303.45
2021,1,6,16,579.68,33.44,19.26,0.01,0.63,93.58,9.52,0.91,93.45,98.64,67.38,93.74,221.29,0.84,290.67
2021,1,6,17,0.0,0.0,17.95,0.0,0.63,85.71,8.97,0.87,84.34,98.69,68.69,78.41,222.87,0.73,294.85
2021,1,6,18,0.0,0.0,17.58,0.0,0.39,81.87,8.97,0.5,77.47,98.76,70.25,96.31,193.47,0.63,296.56
2021,1,6,19,0.0,0.0,16.98,0.0,0.1,304.99,8.91,0.17,313.15,98.82,73.0,90.69,213.84,0.77,287.37
2021,1,6,20,0.0,0.0,16.11,0.02,0.66,282.38,8.91,0.9,285.12,98.85,77.06,86.26,194.97,0.7,297.42
2021,1,6,21,0.0,0.0,14.77,0.02,1.23,290.05,8.91,1.77,290.91,98.86,83.62,100.78,213.95,0.7,296.78
2021,1,6,22,0.0,0.0,13.48,0.02,1.8,301.35,8.85,2.74,301.97,98.85,90.56,91.49,200.11,0.87,311.7
2021,1,6,23,0.0,0.0,12.19,0.02,2.27,316.12,8.79,3.74,316.69,98.84,98.0,93.43,195.57,0.82,328.72
2021,1,7,0,0.0,0.0,11.28,0.03,2.57,328.83,8.73,4.63,329.1,98.82,100.0,78.18,184.44,0.91,346.93
2021,1,7,1,0.0,0.0,10.7,0.11,2.68,337.39,8.67,5.28,337.57,98.79,100.0,93.99,193.11,0.75,340.05
2021,1,7,2,0.0,0.0,10.26,0.14,2.7,340.88,8.48,5.62,340.94,98.75,100.0,80.11,169.87,0.76,346.14
2021,1,7,3,0.0,0.0,9.86,0.13,2.67,340.19,8.18,5.65,340.21,98.72,100.0,84.75,170.87,0.63,326.96
2021,1,7,4,0.0,0.0,9.4,0.1,2.64,337.54,7.81,5.54,337.63,98.72,100.0,83.9,152.12,0.78,312.4
